Date,CPI,inflation_mom,cum_inflation
1961-01-01,13.4288044541763,,
1961-02-01,13.4288044541763,0.0,1.0
1961-03-01,13.3778734638318,-0.00379266750947882,0.9962073324905212
1961-04-01,13.3439194702687,-0.002538071065995462,0.9936788874841944
1961-05-01,13.2590344863612,-0.006361323155211651,0.9873577749683963
1961-06-01,13.3099654767057,0.0038412291933391796,0.9911504424778753
1961-07-01,13.3269424734872,0.0012755102040806765,0.9924146649810349
1961-08-01,13.3608964670502,0.0025477707006349437,0.994943109987354
1961-09-01,13.4288044541763,0.005082592121985918,0.9999999999999999
1961-10-01,13.5306664348654,0.007585335018965411,1.0075853350189652
1961-11-01,13.5646204284284,0.002509410288580316,1.0101137800252844
1961-12-01,13.5646204284284,0.0,1.0101137800252844
1962-01-01,13.4967124413023,-0.00500625782228159,1.0050568900126384
1962-02-01,13.4967124413023,0.0,1.0050568900126384
1962-03-01,13.4967124413023,0.0,1.0050568900126384
1962-04-01,13.5306664348654,0.002515723270445802,1.0075853350189652
1962-05-01,13.4967124413023,-0.0025094102885877545,1.0050568900126384
1962-06-01,13.5306664348654,0.002515723270445802,1.0075853350189652
1962-07-01,13.5985744219914,0.005018820577160632,1.0126422250316036
1962-08-01,13.649505412336,0.003745318352064597,1.01643489254109
1962-09-01,13.5646204284284,-0.006218905472639591,1.0101137800252844
1962-10-01,13.6155514187729,0.0037546933667056415,1.0139064475347632
1962-11-01,13.683459405899,0.004987531172073512,1.0189633375474092
1962-12-01,13.717413399462,0.0024813895781619077,1.0214917825537284
1963-01-01,13.7343903962435,0.0012376237623752395,1.022756005056888
1963-02-01,13.7343903962435,0.0,1.022756005056888
1963-03-01,13.683459405899,-0.0037082818294162934,1.0189633375474092
1963-04-01,13.7004364026805,0.001240694789081065,1.020227560050569
1963-05-01,13.7004364026805,0.0,1.020227560050569
1963-06-01,13.7683443898065,0.004956629491941866,1.0252844500632077
1963-07-01,13.8362523769326,0.0049321824907557765,1.0303413400758537
1963-08-01,13.8702063704956,0.002453987730059559,1.0328697850821729
1963-09-01,13.8532293737141,-0.0012239902080773968,1.0316055625790133
1963-10-01,13.8362523769326,-0.0012254901960775388,1.0303413400758537
1963-11-01,13.8871833672771,0.0036809815950893388,1.0341340075853325
1963-12-01,13.9381143576217,0.003667481662596339,1.0379266750948188
1964-01-01,13.8871833672771,-0.0036540803897731067,1.0341340075853325
1964-02-01,13.9720683511847,0.006112469437655532,1.040455120101138
1964-03-01,13.9381143576217,-0.0024301336573493426,1.0379266750948188
1964-04-01,13.9720683511847,0.002436053593177112,1.040455120101138
1964-05-01,13.9381143576217,-0.0024301336573493426,1.0379266750948188
1964-06-01,14.0229993415292,0.006090133982943113,1.0442477876106169
1964-07-01,14.0739303318738,0.003631961259084493,1.0480404551201032
1964-08-01,14.0569533350922,-0.001206272617617854,1.046776232616936
1964-09-01,14.0229993415292,-0.002415458937196302,1.0442477876106169
1964-10-01,14.0229993415292,0.0,1.0442477876106169
1964-11-01,14.0909073286553,0.004842615012110141,1.0493046776232628
1964-12-01,14.1248613222183,0.0024096385542151655,1.0518331226295823
1965-01-01,14.1418383189998,0.00120192307692224,1.053097345132742
1965-02-01,14.1418383189998,0.0,1.053097345132742
1965-03-01,14.1418383189998,0.0,1.053097345132742
1965-04-01,14.1927693093443,0.003601440576227688,1.0568900126422207
1965-05-01,14.2606772964704,0.004784688995218778,1.0619469026548667
1965-06-01,14.345562280378,0.005952380952383596,1.0682680151706723
1965-07-01,14.413470267504,0.0047337278106474034,1.0733249051833107
1965-08-01,14.3964932707225,-0.0011778563015303334,1.072060682680151
1965-09-01,14.3285852835964,-0.004716981132078968,1.0670037926675051
1965-10-01,14.3625392771595,0.0023696682464509067,1.0695322376738319
1965-11-01,14.4644012578485,0.007092198581555076,1.0771175726927897
1965-12-01,14.5323092449746,0.004694835680754572,1.0821744627054357
1966-01-01,14.5323092449746,0.0,1.0821744627054357
1966-02-01,14.6511482224452,0.008177570093458764,1.0910240202275605
1966-03-01,14.6341712256637,-0.0011587485515633933,1.089759797724401
1966-04-01,14.6851022160082,0.003480278422271388,1.09355246523388
1966-05-01,14.6851022160082,0.0,1.09355246523388
1966-06-01,14.7530102031343,0.004624277456650727,1.0986093552465257
1966-07-01,14.7530102031343,0.0,1.0986093552465257
1966-08-01,14.7869641966973,0.002301495972380385,1.101137800252845
1966-09-01,14.8209181902603,0.002296211251433533,1.1036662452591643
1966-10-01,14.7869641966973,-0.0022909507445574295,1.101137800252845
1966-11-01,14.9058031741679,0.008036739380023805,1.1099873577749697
1966-12-01,14.9227801709494,0.0011389521640081668,1.1112515802781293
1967-01-01,14.9397571677309,0.0011376564277578716,1.112515802781289
1967-02-01,15.0246421516385,0.005681818181820786,1.1188369152970945
1967-03-01,15.075573141983,0.0033898305084720803,1.1226295828065733
1967-04-01,15.2453431097981,0.011261261261259703,1.1352718078381772
1967-05-01,15.2623201065796,0.001113585746101542,1.1365360303413368
1967-06-01,15.3132510969242,0.0033370411568449665,1.140328697850823
1967-07-01,15.4490670711763,0.008869179600887067,1.1504424778761075
1967-08-01,15.5339520550838,0.005494505494501478,1.1567635903919058
1967-09-01,15.4660440679578,-0.004371584699450426,1.1517067003792671
1967-10-01,15.4320900743948,-0.0021953896816668816,1.149178255372948
1967-11-01,15.5169750583023,0.005500550055001385,1.155499367888746
1967-12-01,15.5679060486469,0.0032822757111639067,1.1592920353982323
1968-01-01,15.6697680293359,0.0065430752453605745,1.1668773704171902
1968-02-01,15.6697680293359,0.0,1.1668773704171902
1968-03-01,15.6527910325544,-0.0010834236186341162,1.1656131479140306
1968-04-01,15.771630010025,0.007592190889371686,1.1744627054361554
1968-05-01,15.771630010025,0.0,1.1744627054361554
1968-06-01,15.7886070068065,0.001076426264799979,1.175726927939315
1968-07-01,15.8734919907141,0.005376344086023943,1.1820480404551206
1968-08-01,15.9413999778401,0.004278074866306936,1.187104930467759
1968-09-01,15.9074459842771,-0.002129925452607595,1.1845764854614398
1968-10-01,15.9074459842771,0.0,1.1845764854614398
